,GEOID_Data,facility_type,X.1,X,FID,OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,area_sqr_m,land_ratio,ORIG_FID,POINT_X,POINT_Y,facility_name,facility_lat,facility_lng,distance_rank,Dist_km_bm,Dur_min_bm,Dist_km_rt,Dur_min_rt,time,Dist_km_rg,Dur_min_rg
4,14000US39035101101,center,3085,13245,544,52969,39,35,101101,39035101101,1011.01,Census Tract 1011.01,G5020,S,305989,0,41.4817295,-81.748052,0.029905399,3.30E-05,0.118143,1,544,-81.74805197,41.4817295,Cleveland Downtown,41.5047834,-81.6856808,0,7.386,9.966666667,7.386,10.41666667,1/19/2019 16:00,7.386,10.55
6,14000US39035101101,fire,1815,9071,544,52969,39,35,101101,39035101101,1011.01,Census Tract 1011.01,G5020,S,305989,0,41.4817295,-81.748052,0.029905399,3.30E-05,0.118143,1,544,-81.74805197,41.4817295,Cleveland Fire Station 23,41.4773181,-81.7516946,0,1.113,3.033333333,1.113,3.133333333,1/19/2019 16:00,1.113,3.05
10,14000US39035101101,grocery,1180,5896,544,52969,39,35,101101,39035101101,1011.01,Census Tract 1011.01,G5020,S,305989,0,41.4817295,-81.748052,0.029905399,3.30E-05,0.118143,1,544,-81.74805197,41.4817295,American Food Market,41.4816926,-81.7403358,0,0.918,2.633333333,0.918,2.833333333,1/19/2019 16:00,0.918,2.733333333
13,14000US39035101101,hospital,545,2721,544,52969,39,35,101101,39035101101,1011.01,Census Tract 1011.01,G5020,S,305989,0,41.4817295,-81.748052,0.029905399,3.30E-05,0.118143,1,544,-81.74805197,41.4817295,MetroHealth,41.4620675,-81.698173,0,7.841,12.8,7.841,12.55,1/19/2019 16:00,7.841,12.35
17,14000US39035101101,police,2450,12246,544,52969,39,35,101101,39035101101,1011.01,Census Tract 1011.01,G5020,S,305989,0,41.4817295,-81.748052,0.029905399,3.30E-05,0.118143,1,544,-81.74805197,41.4817295,Lakewood Police Department,41.4850308,-81.7774277,0,2.765,7.083333333,2.765,7.45,1/19/2019 16:00,2.765,6.833333333
23,14000US39035101102,center,2582,12742,41,50720,39,35,101102,39035101102,1011.02,Census Tract 1011.02,G5020,S,1324748,943961,41.4898253,-81.7613997,0.074465403,0.000244606,0.511488,0.573919937,41,-81.75917352,41.48901229,Cleveland Downtown,41.5047834,-81.6856808,0,8.046,11.2,8.046,11.78333333,1/19/2019 16:00,8.046,11.18333333
26,14000US39035101102,fire,1312,6556,41,50720,39,35,101102,39035101102,1011.02,Census Tract 1011.02,G5020,S,1324748,943961,41.4898253,-81.7613997,0.074465403,0.000244606,0.511488,0.573919937,41,-81.75917352,41.48901229,Cleveland Fire Station 23,41.4773181,-81.7516946,0,2.231,5.966666667,2.231,6.066666667,1/19/2019 16:00,2.231,6
32,14000US39035101102,grocery,677,3381,41,50720,39,35,101102,39035101102,1011.02,Census Tract 1011.02,G5020,S,1324748,943961,41.4898253,-81.7613997,0.074465403,0.000244606,0.511488,0.573919937,41,-81.75917352,41.48901229,Clifton Minimarket,41.4867136,-81.7616541,0,0.459,1.516666667,0.459,1.666666667,1/19/2019 16:00,0.459,1.516666667
35,14000US39035101102,hospital,42,206,41,50720,39,35,101102,39035101102,1011.02,Census Tract 1011.02,G5020,S,1324748,943961,41.4898253,-81.7613997,0.074465403,0.000244606,0.511488,0.573919937,41,-81.75917352,41.48901229,MetroHealth,41.4504689,-81.8017469,0,6.745,14.25,6.745,13.71666667,1/19/2019 16:00,6.745,13.7
40,14000US39035101102,police,1947,9731,41,50720,39,35,101102,39035101102,1011.02,Census Tract 1011.02,G5020,S,1324748,943961,41.4898253,-81.7613997,0.074465403,0.000244606,0.511488,0.573919937,41,-81.75917352,41.48901229,Lakewood Police Department,41.4850308,-81.7774277,0,2.44,5.65,2.44,5.516666667,1/19/2019 16:00,2.44,5.6
